CRICOS Provider Code,Institution Name,CRICOS Course Code,Course Name,VET National Code,Dual Qualification,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Field of Education 1 Detailed Field,Field of Education 2 Broad Field,Field of Education 2 Narrow Field,Field of Education 2 Detailed Field,Course Level,Foundation Studies,Work Component,Work Component Hours/Week,Work Component Weeks,Work Component Total Hours,Course Language,Duration (Weeks),Tuition Fee,Non Tuition Fee,Estimated Total Course Cost,Expired
00026A,The University of Sydney,045008J,Doctor of Social Sciences,,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,"$217,300.00","$1,525.91","$218,825.91",No
00026A,The University of Sydney,045009G,Graduate Certificate in Media Practice,,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$28,650.00",$186.50,"$28,836.50",No
00026A,The University of Sydney,045477B,Graduate Diploma in Social Work,,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,,,,Graduate Diploma,No,No,,,,English,52,"$40,575.00",$373.00,"$40,948.00",No
00026A,The University of Sydney,045478A,Doctor of Social Work,,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,,,,Doctoral Degree,No,No,,,,English,208,"$182,800.00","$1,260.00","$184,060.00",No
00026A,The University of Sydney,045639M,Doctor of Philosophy in Science,,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,,,,Doctoral Degree,No,No,,,,English,286,"$171,850.00","$1,128.54","$172,978.54",No
00026A,The University of Sydney,047794F,Master of Physiotherapy,,No,06 - Health,0617 - Rehabilitation Therapies,061701 - Physiotherapy,,,,Masters Degree (Coursework),No,Yes,40.00,21,840,English,104,"$133,980.00",$831.32,"$134,811.32",No
00026A,The University of Sydney,048508J,Master of Design Science (Building),,No,04 - Architecture and Building,0403 - Building,040301 - Building Science and Technology,,,,Masters Degree (Coursework),No,No,,,,English,78,"$71,660.00",$553.16,"$72,213.16",No
00026A,The University of Sydney,048509G,Master of Design Science (Building Services),,No,04 - Architecture and Building,0403 - Building,040301 - Building Science and Technology,,,,Masters Degree (Coursework),No,No,,,,English,78,"$71,660.00",$553.16,"$72,213.16",No
00026A,The University of Sydney,048514M,Master of Design Science (Illumination Design),,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040107 - Interior and Environmental Design,,,,Masters Degree (Coursework),No,No,,,,English,78,"$71,660.00",$553.16,"$72,213.16",No
00026A,The University of Sydney,048515K,Master of Design Science (Sustainable Design),,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,78,"$71,660.00",$553.16,"$72,213.16",No
00026A,The University of Sydney,048517G,Graduate Diploma in Design Science (Building),,No,04 - Architecture and Building,0403 - Building,040301 - Building Science and Technology,,,,Graduate Diploma,No,No,,,,English,52,,,"$23,760.00",No
00026A,The University of Sydney,048518G,Graduate Diploma in Design Science (Building Services),,No,04 - Architecture and Building,0403 - Building,040301 - Building Science and Technology,,,,Graduate Diploma,No,No,,,,English,52,"$49,700.00",$373.00,"$50,073.00",No
00026A,The University of Sydney,048523K,Graduate Diploma in Design Science (Sustainable Design),,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$49,700.00",$373.00,"$50,073.00",No
00026A,The University of Sydney,048526G,Graduate Certificate in Design Science (Building),,No,04 - Architecture and Building,0403 - Building,040301 - Building Science and Technology,,,,Graduate Certificate,No,No,,,,English,26,"$24,850.00",$186.50,"$25,036.50",No
00026A,The University of Sydney,048527F,Graduate Certificate in Design Science (Building Services),,No,04 - Architecture and Building,0403 - Building,040301 - Building Science and Technology,,,,Graduate Certificate,No,No,,,,English,26,"$24,850.00",$186.50,"$25,036.50",No
00026A,The University of Sydney,048767A,Doctor of Philosophy in Science (Cotutelle),,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,,,$1.00,No
00026A,The University of Sydney,049402M,Master in Policy Studies,,No,07 - Education,0703 - Curriculum and Education Studies,070303 - Education Studies,,,,Masters Degree (Coursework),No,No,,,,English,52,"$54,100.00",$373.00,"$54,473.00",No
00026A,The University of Sydney,050004D,Master of Pharmacy,,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,,,,Masters Degree (Coursework),No,Yes,35.00,10,350,English,104,"$125,300.00","$1,081.60","$126,381.60",No
00026A,The University of Sydney,050097E,Master of Medical Physics,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Masters Degree (Coursework),No,No,,,,English,78,"$93,500.00",$559.50,"$94,059.50",No
00026A,The University of Sydney,050098D,Graduate Diploma in Medical Physics,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Graduate Diploma,No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,050921M,Master of Business Law,,No,09 - Society and Culture,0909 - Law,090901 - Business and Commercial Law,,,,Masters Degree (Coursework),No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,050922K,Master of Arts (Research),,No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",,,,Masters Degree (Research),No,No,,,,English,104,"$105,400.00",$751.60,"$106,151.60",No
00026A,The University of Sydney,050959G,Graduate Diploma in Computing,,No,02 - Information Technology,0201 - Computer Science,"020100 - Computer Science, n.f.d.",,,,Graduate Diploma,No,No,,,,English,52,"$55,100.00",$365.00,"$55,465.00",No
00026A,The University of Sydney,052441M,Master of Music (Applied Research in Music Performance),,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Masters Degree (Research),No,No,,,,English,104,"$95,200.00",$751.60,"$95,951.60",No
00026A,The University of Sydney,052451J,Bachelor of Music (Performance),,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Bachelor Degree,No,No,,,,English,208,"$205,900.00","$1,525.91","$207,425.91",No
00026A,The University of Sydney,052452G,Bachelor of Music (Composition),,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Bachelor Degree,No,No,,,,English,208,"$210,500.00","$1,525.91","$212,025.91",No
00026A,The University of Sydney,052456D,Bachelor of Design in Architecture,,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$162,300.00","$4,135.87","$166,435.87",No
00026A,The University of Sydney,052752G,Undergraduate Study Abroad Program,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,52,"$25,200.00",$0.00,"$25,200.00",No
00026A,The University of Sydney,052753F,Postgraduate Coursework Study Abroad Program,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,26,"$12,600.00",$0.00,"$12,600.00",No
00026A,The University of Sydney,052754E,Postgraduate Research Study Abroad Program,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,26,"$12,600.00",$0.00,"$12,600.00",No
00026A,The University of Sydney,052756C,Master of Speech Language Pathology,,No,06 - Health,0617 - Rehabilitation Therapies,061707 - Speech Pathology,,,,Masters Degree (Coursework),No,Yes,32.40,23,745,English,104,"$140,700.00",$843.60,"$141,543.60",No
00026A,The University of Sydney,052757B,Master of Applied Science (Health Sciences),,No,06 - Health,0699 - Other Health,"069999 - Health, n.e.c.",,,,Masters Degree (Research),No,No,,,,English,104,"$118,600.00",$751.60,"$119,351.60",No
00026A,The University of Sydney,052873J,Undergraduate Exchange Program,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,52,,,$1.00,No
00026A,The University of Sydney,052874G,Postgraduate Coursework Exchange Program,,No,12 - Mixed Field Programmes,1201 - General Education Programmes,"120199 - General Education Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,26,,,$1.00,No
00026A,The University of Sydney,052875G,Postgraduate Research Exchange Program,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,26,,,$1.00,No
00026A,The University of Sydney,052970G,Doctor of Philsophy in Engineering (Cotutelle),,No,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,,,$1.00,No
00026A,The University of Sydney,052971G,Doctor of Philsophy in Arts ( Cotutelle),,No,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,,,$1.00,No
00026A,The University of Sydney,053402K,Postgraduate Coursework Study Abroad Program (2 Semesters),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,52,"$25,200.00",$0.00,"$25,200.00",No
00026A,The University of Sydney,053403J,Postgraduate Research Study Abroad Program (2 Semesters),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,52,"$25,200.00",$0.00,"$25,200.00",No
00026A,The University of Sydney,053404G,Postgraduate Coursework Exchange Program (2 Semesters),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,52,,,$1.00,No
00026A,The University of Sydney,053405G,Postgraduate Research Exchange Program (2 Semesters),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,52,,,$1.00,No
00026A,The University of Sydney,053423E,Bachelor of Animal and Veterinary Bioscience,,No,06 - Health,0611 - Veterinary Studies,061101 - Veterinary Science,,,,Bachelor Degree,No,Yes,40.00,12,480,English,208,"$262,730.00","$1,521.58","$264,251.58",No
00026A,The University of Sydney,053429K,Graduate Diploma in Strategic Public Relations,,No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$51,300.00",$373.00,"$51,673.00",No
00026A,The University of Sydney,053430F,Graduate Certificate in Strategic Public Relations,,No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$25,650.00",$186.50,"$25,836.50",No
00026A,The University of Sydney,053431E,Master of Development Studies,,No,09 - Society and Culture,0903 - Studies in Human Society,"090300 - Studies in Human Society, n.f.d.",,,,Masters Degree (Coursework),No,No,,,,English,52,"$51,300.00",$373.00,"$51,673.00",No
00026A,The University of Sydney,053432D,Graduate Diploma in Development Studies,,No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$51,300.00",$373.00,"$51,673.00",No
00026A,The University of Sydney,053433C,Graduate Certificate in Development Studies,,No,09 - Society and Culture,0903 - Studies in Human Society,"090300 - Studies in Human Society, n.f.d.",,,,Graduate Certificate,No,No,,,,English,26,"$25,650.00",$186.50,"$25,836.50",No
00026A,The University of Sydney,053653B,Master of Urban Design (Urban Design and Planning),,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,,,,Masters Degree (Coursework),No,No,,,,English,104,"$100,900.00",$751.60,"$101,651.60",No
00026A,The University of Sydney,053656K,Master of Design Science (Building)(Audio/Building Services/Design Computing/Digital Media/Facilities),,No,04 - Architecture and Building,0403 - Building,040301 - Building Science and Technology,,,,Masters Degree (Coursework),No,No,,,,English,104,"$96,020.00",$741.32,"$96,761.32",No
00026A,The University of Sydney,053657J,Master of Design Science (Building Services) (Audio/Building/Design Computing/Digital Media/Facilities),,No,04 - Architecture and Building,0403 - Building,040301 - Building Science and Technology,,,,Masters Degree (Coursework),No,No,,,,English,104,"$96,020.00",$741.32,"$96,761.32",No
00026A,The University of Sydney,053661B,Master of Design Science (Illumination Design)(Audio/Building Services/Design Computing/Digital Media/Facilities),,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040107 - Interior and Environmental Design,,,,Masters Degree (Coursework),No,No,,,,English,104,"$96,020.00",$741.32,"$96,761.32",No
00026A,The University of Sydney,053662A,Master of Design Science (Sustainable Design)(Audio/Building Services/Building/Design Computing/Digital Media/Facilities),,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,104,"$96,020.00",$741.32,"$96,761.32",No
00026A,The University of Sydney,053859K,Master of Public Administration,,No,08 - Management and Commerce,0803 - Business and Management,080313 - Public and Health Care Administration,,,,Masters Degree (Coursework),No,No,,,,English,52,"$57,000.00",$329.00,"$57,329.00",No
00026A,The University of Sydney,053863C,Master of Science in Medicine (Clinical Epidemiology),,No,06 - Health,0613 - Public Health,061311 - Epidemiology,,,,Masters Degree (Coursework),No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,053865A,Master of Medicine (Clinical Epidemiology),,No,06 - Health,0613 - Public Health,061311 - Epidemiology,,,,Masters Degree (Coursework),No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,053868J,Graduate Diploma in Health Policy and Planning,,No,06 - Health,0613 - Public Health,"061399 - Public Health, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$46,275.00",$373.00,"$46,648.00",No
00026A,The University of Sydney,053869G,Master of Health Policy and Planning,,No,06 - Health,0613 - Public Health,"061399 - Public Health, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,053875K,Graduate Diploma in Music (Pedgagogy),,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Graduate Diploma,No,No,,,,English,52,"$40,500.00",$329.00,"$40,829.00",No
00026A,The University of Sydney,053963K,Master of Economics,,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Masters Degree (Coursework),No,No,,,,English,78,"$93,500.00",$559.50,"$94,059.50",No
00026A,The University of Sydney,053965G,Graduate Diploma in Economics,,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Graduate Diploma,No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,054072D,Master of Design Science (Design Computing) ( Honours),,No,10 - Creative Arts,1005 - Graphic and Design Studies,"100599 - Graphic and Design Studies, n.e.c.",,,,Masters Degree (Coursework),No,No,0.00,0,0,English,26,,,"$14,880.00",No
00026A,The University of Sydney,054073C,Master of Design Science (Digital Media) (Honours),,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,26,,,"$14,880.00",No
00026A,The University of Sydney,054076M,Master of Design Science (Sustainable Design) (Honours),,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,26,,,"$12,840.00",No
00026A,The University of Sydney,054757G,Master of Public Health,,No,06 - Health,0613 - Public Health,"061300 - Public Health, n.f.d.",,,,Masters Degree (Coursework),No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,054857D,Master of Learning Sciences & Technology,,No,07 - Education,0703 - Curriculum and Education Studies,070303 - Education Studies,,,,Masters Degree (Coursework),No,No,,,,English,52,"$54,100.00",$373.00,"$54,473.00",No
00026A,The University of Sydney,054928E,Master of Education (Research),,No,07 - Education,0703 - Curriculum and Education Studies,070303 - Education Studies,,,,Masters Degree (Research),No,No,,,,English,52,"$51,900.00",$373.00,"$52,273.00",No
00026A,The University of Sydney,054971B,Graduate Diploma in Bioethics,,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,"010999 - Biological Sciences, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,054972A,Master of Bioethics,,No,09 - Society and Culture,0917 - Philosophy and Religious Studies,091701 - Philosophy,,,,Masters Degree (Coursework),No,No,,,,English,52,"$61,700.00",$373.00,"$62,073.00",No
00026A,The University of Sydney,055185J,Graduate Diploma in Information Technology Management,,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$57,900.00",$373.00,"$58,273.00",No
00026A,The University of Sydney,055186G,Master of Information Technology Management,,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,52,"$57,900.00",$373.00,"$58,273.00",No
00026A,The University of Sydney,055187G,Graduate Certificate in Information Technology Management,,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Graduate Certificate,No,No,0.00,0,0,English,26,"$28,950.00",$186.50,"$29,136.50",No
00026A,The University of Sydney,055314E,Master of Applied Linguistics,,No,09 - Society and Culture,0915 - Language and Literature,091521 - Linguistics,,,,Masters Degree (Coursework),No,No,,,,English,52,"$51,300.00",$373.00,"$51,673.00",No
00026A,The University of Sydney,055324C,Graduate Diploma in Creative Writing,,No,10 - Creative Arts,1007 - Communication and Media Studies,100705 - Written Communication,,,,Graduate Diploma,No,No,,,,English,52,"$51,300.00",$373.00,"$51,673.00",No
00026A,The University of Sydney,055325B,Graduate Certificate in Creative Writing,,No,10 - Creative Arts,1007 - Communication and Media Studies,100705 - Written Communication,,,,Graduate Certificate,No,No,,,,English,26,"$25,650.00",$186.50,"$25,836.50",No
00026A,The University of Sydney,055326A,Master of Crosscultural Communication,,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,52,"$51,300.00",$373.00,"$51,673.00",No
00026A,The University of Sydney,055331D,Master of Peace and Conflict Studies,,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,52,"$51,300.00",$373.00,"$51,673.00",No
00026A,The University of Sydney,055332C,Graduate Diploma in Peace and Conflict Studies,,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$51,300.00",$373.00,"$51,673.00",No
00026A,The University of Sydney,055333B,Graduate Certificate in Peace and Conflict Studies,,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$25,650.00",$186.50,"$25,836.50",No
00026A,The University of Sydney,055519C,Graduate Diploma in Facilities Management,,No,04 - Architecture and Building,0403 - Building,"040399 - Building, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$40,500.00",$329.00,"$40,829.00",No
00026A,The University of Sydney,055520K,Master of Facilities Management,,No,04 - Architecture and Building,0403 - Building,"040399 - Building, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,78,"$54,000.00",$499.00,"$54,499.00",No
00026A,The University of Sydney,055548J,Master of Arts,,No,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",,,,Masters Degree (Coursework),No,No,0.00,0,0,English,52,"$45,500.00",$329.00,"$45,829.00",No
00026A,The University of Sydney,055691B,Bachelor of Design Computing (Honours),,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",,,,Bachelor Honours Degree,No,No,,,,English,52,"$50,000.00",$578.80,"$50,578.80",No
00026A,The University of Sydney,055693M,Bachelor of Design in Architecture (Honours),,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,,,,Bachelor Honours Degree,No,No,,,,English,52,"$52,500.00","$1,373.00","$53,873.00",No
00026A,The University of Sydney,055966B,Bachelor of Education (Secondary: Science) / Bachelor of Science,,Yes,07 - Education,0701 - Teacher Education,070105 - Teacher Education: Secondary,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",Bachelor Degree,No,Yes,35.00,16,560,English,260,"$321,700.00","$1,921.80","$323,621.80",No
00026A,The University of Sydney,055967A,Bachelor of Education (Secondary: Mathematics) / Bachelor of Science,,Yes,07 - Education,0701 - Teacher Education,070105 - Teacher Education: Secondary,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",Bachelor Degree,No,Yes,35.00,16,560,English,260,"$321,700.00","$1,921.80","$323,621.80",No
00026A,The University of Sydney,055968M,Bachelor of Education (Secondary: Humanities) / Bachelor of Arts,,Yes,07 - Education,0701 - Teacher Education,070105 - Teacher Education: Secondary,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Bachelor Degree,No,Yes,35.00,16,560,English,260,"$321,700.00","$1,921.80","$323,621.80",No
00026A,The University of Sydney,056658F,Bachelor of Economics and Social Sciences (Honours),,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Bachelor Honours Degree,No,No,0.00,0,0,English,52,"$46,000.00",$329.00,"$46,329.00",No
00026A,The University of Sydney,057117E,Doctor of Philosophy in Social Work,,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,,,,Doctoral Degree,No,No,,,,English,208,"$217,300.00","$1,525.91","$218,825.91",No
00026A,The University of Sydney,057118D,Graduate Certificate in Social Work,,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,,,,Graduate Certificate,No,No,,,,English,26,,,"$14,280.00",No
00026A,The University of Sydney,057888F,Master of Digital Communication and Culture,,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,52,"$54,100.00",$373.00,"$54,473.00",No
00026A,The University of Sydney,057891M,Graduate Diploma in Digital Communication and Culture,,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$54,100.00",$373.00,"$54,473.00",No
00026A,The University of Sydney,057893J,Graduate Certificate in Digital Communication and Culture,,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$27,050.00",$186.50,"$27,236.50",No
00026A,The University of Sydney,057895G,Master of Philosophy (Medicine and Health),,No,06 - Health,0601 - Medical Studies,"060199 - Medical Studies, n.e.c.",,,,Masters Degree (Research),No,No,,,,English,104,"$118,600.00",$751.60,"$119,351.60",No
00026A,The University of Sydney,057896F,Master of Philosophy (Dentistry),,No,06 - Health,0607 - Dental Studies,060701 - Dentistry,,,,Masters Degree (Research),No,Yes,38.00,48,"1,824",English,104,"$118,600.00",$751.60,"$119,351.60",No
00026A,The University of Sydney,057897E,Master of Philosophy (Pharmacy),,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,,,,Masters Degree (Research),No,No,,,,English,104,"$118,600.00",$751.60,"$119,351.60",No
00026A,The University of Sydney,057898D,Bachelor of Global Studies,,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,,,"$71,645.00",No
00026A,The University of Sydney,058176G,Graduate Diploma in Learning Sciences and Technology,,No,07 - Education,0703 - Curriculum and Education Studies,070303 - Education Studies,,,,Graduate Diploma,No,No,,,,English,52,"$40,575.00",$373.00,"$40,948.00",No
00026A,The University of Sydney,058177G,Graduate Certificate in Learning Sciences and Technology,,No,07 - Education,0703 - Curriculum and Education Studies,070303 - Education Studies,,,,Graduate Certificate,No,No,,,,English,26,"$27,050.00",$186.50,"$27,236.50",No
00026A,The University of Sydney,058179E,Graduate Diploma in Publishing,,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$51,300.00",$373.00,"$51,673.00",No
00026A,The University of Sydney,058180A,Graduate Certificate in Publishing,,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$25,650.00",$186.50,"$25,836.50",No
00026A,The University of Sydney,058184G,Master of English Language in Australia,,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,,,,Masters Degree (Coursework),No,No,,,,English,52,,,"$24,720.00",No
00026A,The University of Sydney,058352G,Master of Diagnostic Radiography,,No,06 - Health,0615 - Radiography,061501 - Radiography,,,,Masters Degree (Coursework),No,Yes,35.00,30,"1,050",English,104,"$129,500.00",$941.60,"$130,441.60",No
00026A,The University of Sydney,058359A,Graduate Diploma in Music (Performance),,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Graduate Diploma,No,No,,,,English,52,"$47,500.00",$373.00,"$47,873.00",No
00026A,The University of Sydney,058361G,Graduate Diploma in Veterinary Studies,,No,06 - Health,0611 - Veterinary Studies,"061199 - Veterinary Studies, n.e.c.",,,,Graduate Diploma,No,No,,,,English,52,"$58,800.00",$365.00,"$59,165.00",No
00026A,The University of Sydney,058362F,Master of Professional Accounting,,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Masters Degree (Coursework),No,No,,,,English,78,"$93,500.00",$559.50,"$94,059.50",No
00026A,The University of Sydney,058373C,Master of Music Studies (Performance),,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Masters Degree (Coursework),No,No,,,,English,78,"$71,950.00",$559.50,"$72,509.50",No
00026A,The University of Sydney,058374B,Master of Veterinary Studies,,No,06 - Health,0611 - Veterinary Studies,"061199 - Veterinary Studies, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,52,"$58,800.00",$365.00,"$59,165.00",No
00026A,The University of Sydney,058697E,Doctor of Philosophy in Health Sciences,,No,06 - Health,0699 - Other Health,"069999 - Health, n.e.c.",,,,Doctoral Degree,No,No,,,,English,208,"$244,500.00","$1,525.91","$246,025.91",No
00026A,The University of Sydney,058960F,Bachelor of Arts (Advanced) (Honours),,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",,,,Bachelor Honours Degree,No,No,,,,English,156,"$162,300.00","$1,135.87","$163,435.87",No
00026A,The University of Sydney,058961E,Bachelor of Health Sciences (Honours),,No,06 - Health,0699 - Other Health,"069999 - Health, n.e.c.",,,,Bachelor Honours Degree,No,No,,,,English,52,"$60,600.00",$373.00,"$60,973.00",No
00026A,The University of Sydney,059186J,Bachelor of Visual Arts (Honours),,No,10 - Creative Arts,1003 - Visual Arts and Crafts,100301 - Fine Arts,,,,Bachelor Honours Degree,No,No,,,,English,52,"$49,200.00",$573.00,"$49,773.00",No
